FuelType,Car Brand,Car Model,Periodic Service Price GaadiMech,Express Service Price GaadiMech,Comprehensive Service Price GaadiMech,Dent & Paint Price GaadiMech
petrol,Skoda,Superb,6399.0,5999.0,8299.0,2599.0
petrol,Skoda,Yeti,5299.0,4999.0,6999.0,2599.0
petrol,Skoda,Slavia,5999.0,5599.0,8999.0,2799.0
petrol,Skoda,Kushaq,5999.0,5699.0,8899.0,2799.0
petrol,Skoda,Kodiaq,5999.0,5699.0,8899.0,2899.0
petrol,Volkswagen,CrossPolo,3999.0,3799.0,5899.0,2499.0
petrol,Volkswagen,Jetta,5299.0,4899.0,7199.0,2499.0
petrol,Volkswagen,Passat,5299.0,4899.0,7199.0,2599.0
petrol,Volkswagen,Polo,3999.0,3799.0,5899.0,2599.0
petrol,Volkswagen,Vento,5299.0,4899.0,6499.0,2499.0
petrol,Volkswagen,Ameo,4299.0,3999.0,5999.0,2499.0
petrol,Volkswagen,Beetle,10299.0,9699.0,14599.0,2699.0
petrol,Volkswagen,Tiguan,,,,2599.0
petrol,Volkswagen,T-Roc,5999.0,5699.0,8899.0,2799.0
petrol,Volkswagen,Taigun,5999.0,5699.0,8899.0,2799.0
petrol,Volkswagen,Virtus,5999.0,5599.0,8999.0,2799.0
petrol,MG,Hector,5999.0,5699.0,8899.0,2799.0
petrol,MG,Gloster,,,,2899.0
petrol,MG,Astor,5999.0,5599.0,8899.0,2899.0
petrol,MG,Hector Plus,6099.0,5699.0,8899.0,2799.0
petrol,Citroen,C5 Aircross,,,,2799.0
petrol,Citroen,C3,4099.0,3899.0,5499.0,2699.0
petrol,Jeep,Compass,6099.0,5699.0,8899.0,2799.0
petrol,Fiat,Adventure,3899.0,3599.0,5299.0,2499.0
petrol,Fiat,Avventura,3899.0,3599.0,5299.0,2499.0
petrol,Fiat,Linea,4099.0,3899.0,5499.0,2499.0
petrol,Fiat,Linea Classic,4099.0,3899.0,5499.0,2499.0
petrol,Fiat,Palio D,3699.0,3499.0,5499.0,2499.0
petrol,Fiat,Palio Stile,3699.0,3499.0,5499.0,2499.0
petrol,Fiat,Petra,3899.0,3599.0,5499.0,2499.0
