FuelType,Car Brand,Car Model,Periodic Service Price GaadiMech,Express Service Price GaadiMech,Discounted Price,Comprehensive Service Price GaadiMech,Dent & Paint Price GaadiMech,Dent and Paint Full Body,
petrol,Chevrolet,Beat,2799,2999,2699,4899,2199,20000,2899
petrol,Chevrolet,Captiva,#N/A,#N/A,200,,2599,27000,400
petrol,Chevrolet,Cruze,4499,4499,4199,7399,2599,26000,4399
petrol,Chevrolet,Enjoy,4099,4299,3999,5899,2499,25000,4199
petrol,Chevrolet,Optra,4399,4499,4199,6199,2499,25000,4399
petrol,Chevrolet,Optra Magnum,4399,4599,4299,6199,2499,25000,4499
petrol,Chevrolet,Optra SRV,4199,4399,4099,6099,2499,25000,4299
petrol,Chevrolet,Sail,3699,3999,3699,5399,2399,24000,3899
petrol,Chevrolet,Sail Hatchback,3499,3799,3499,5299,2399,24000,3699
petrol,Chevrolet,Spark,2999,3099,2799,4299,2199,20000,2999
petrol,Chevrolet,Tavera,#N/A,#N/A,200,,2699,27000,400
petrol,Chevrolet,Uva,3799,4099,3799,5299,2399,24000,3999
petrol,Chevrolet,Trailblazer,#N/A,#N/A,200,,2599,27000,400
petrol,Kia,Seltos,3899,4099,3999,5199,2699,25000,4199
petrol,Kia,Sonet,3399,3699,3599,5499,2699,24000,3799
petrol,Kia,Carnival,6599,6499,6999,8899,2899,30000,7199
petrol,Kia,Carens,3999,4099,3799,5099,2599,25000,3999
petrol,Skoda,Fabia,3999,4099,3799,7099,2499,22000,3999
petrol,Skoda,Fabia Scout,3999,4099,3799,7099,2499,22000,3999
petrol,Skoda,Laura,4599,4699,4399,6099,2499,27000,4599
petrol,Skoda,Octavia,5299,5499,5199,7099,2499,27000,5399
petrol,Skoda,Rapid,4599,4699,4599,7199,2499,25000,4799
petrol,Skoda,Superb,6499,6499,6199,8299,2599,27000,6399
petrol,Skoda,Yeti,4599,4699,4399,6999,2599,25000,4599
petrol,Skoda,Slavia,4999,4999,4699,8999,2799,25000,4899
petrol,Skoda,Kushaq,4999,4999,4699,8899,2799,26000,4899
petrol,Skoda,Kodiaq,5999,6199,5999,8899,2899,26000,6199
petrol,Volkswagen,CrossPolo,4199,4199,3899,5899,2499,24000,4099
petrol,Volkswagen,Jetta,5299,5399,5099,7199,2499,28000,5299
petrol,Volkswagen,Passat,5699,5699,5399,7199,2599,28000,5599
petrol,Volkswagen,Polo,4199,4199,3899,5899,2599,24000,4099
petrol,Volkswagen,Vento,4599,4699,4399,6499,2499,26000,4599
petrol,Volkswagen,Ameo,4299,4499,4199,5999,2499,24000,4399
petrol,Volkswagen,Beetle,10599,10499,10199,14599,2699,35000,10399
petrol,Volkswagen,Tiguan,#N/A,#N/A,200,,2599,26000,400
petrol,Volkswagen,T-Roc,5999,6199,5899,8899,2799,28000,6099
petrol,Volkswagen,Taigun,5999,6199,5899,8899,2799,27000,6099
petrol,Volkswagen,Virtus,4999,4999,4699,8999,2799,26000,4899
petrol,MG,Hector,6599,6499,6199,8899,2799,27000,6399
petrol,MG,Gloster,#N/A,#N/A,200,,2899,35000,400
petrol,MG,Astor,6599,6499,6199,8899,2899,26000,6399
petrol,MG,Hector Plus,6599,6499,6199,8899,2799,27000,6399
petrol,Citroen,C5 Aircross,#N/A,#N/A,200,,2799,27000,400
petrol,Citroen,C3,3999,4199,3899,5499,2699,25000,4099
petrol,Jeep,Compass,5199,5099,5199,8899,2799,28000,5399
petrol,Fiat,Adventure,3899,4099,3799,5299,2499,23000,3999
petrol,Fiat,Avventura,3899,4099,3799,5299,2499,23000,3999
petrol,Fiat,Linea,4199,4199,3899,5499,2499,25000,4099
petrol,Fiat,Linea Classic,4099,4399,4099,5499,2499,25000,4299
petrol,Fiat,Palio D,3699,3999,3699,5499,2499,24000,3899
petrol,Fiat,Palio Stile,3699,3999,3699,5499,2499,24000,3899
petrol,Fiat,Petra,3899,4099,3799,5499,2499,24000,3999
petrol,Fiat,Punto,3099,3399,3099,5099,4299,22000,3299
petrol,Fiat,Punto Evo,3599,3899,3599,5099,2499,22000,3799
petrol,Fiat,Uno,3599,3899,3599,5099,2499,24000,3799
petrol,Fiat,Abarth Punto,3699,3999,3699,5099,2499,24000,3899
petrol,Nissan,Evalia,#N/A,#N/A,200,,2499,27000,400
petrol,Nissan,Micra,3199,3499,3199,5199,2199,22000,3399
petrol,Nissan,Micra Active,3199,3499,3199,5199,2199,22000,3399
petrol,Nissan,Sunny,4399,4499,4199,5899,2499,24000,4399
petrol,Nissan,Teana,5099,5299,4999,6899,2499,25000,5199
petrol,Nissan,Terrano,4599,4499,4199,8299,2699,26000,4399
petrol,Nissan,X-Trail,#N/A,#N/A,200,,2899,28000,400
petrol,Nissan,Gtr,28199,26999,26699,33299,4299,55000,26899
petrol,Nissan,Kicks,3999,4099,3799,5199,2699,25000,3999
petrol,Nissan,Magnite,4199,4499,3999,5499,2699,25000,4199
petrol,Renault,Duster,4599,4499,4199,5299,2899,25000,4399
petrol,Renault,Fluence,4399,4499,4199,5899,2499,25000,4399
petrol,Renault,Koleos,#N/A,#N/A,200,,2799,25000,400
petrol,Renault,Lodgy,#N/A,#N/A,200,,2699,26000,400
petrol,Renault,Pulse,3699,3899,3599,5099,2499,24000,3799
petrol,Renault,Scala,4399,4499,4199,5899,2499,25000,4399
petrol,Renault,Kwid,2999,3399,3099,5099,2599,22000,3299
petrol,Renault,Triber,3999,4099,3799,5099,2499,24000,3999
petrol,Renault,Kiger,4599,4499,4199,5499,2699,25000,4399
petrol,Isuzu,MU-X,#N/A,#N/A,200,,2799,40000,400
petrol,Volvo,Xc60,18999,17499,17199,21499,4299,40000,17399
petrol,Volvo,Xc90,19999,18499,18199,25099,4699,40000,18399
petrol,Volvo,S90,19999,18499,18199,21899,4299,35000,18399
petrol,Volvo,S60,16999,15499,15199,20699,3999,35000,15399
